Cidade;Nome;Tipo;Endereco;Telefone;Site;Buscado_Como
Bueno Brandão;Pesqueiro e Restaurante Santo Antônio;Restaurante;"Rodovia Otacílio Bonamichi - Furnas, Bueno Brandão - MG, 37578-000";(35) 99249-3766;;restaurantes
Bueno Brandão;Pier 7 Chopperia;Pizzaria;"Praça Virgilio Melo Franco, 242, Bueno Brandão - MG, 37578-000";(35) 99857-0139;https://www.lojalocal.com/32296557000108;restaurantes
Bueno Brandão;Pousada do Zezé;;"Bairro - Serrinha, Bueno Brandão - MG, 37578-000";(35) 99828-9463;https://zeze.bedsandhotels.com/;cafés
Bueno Brandão;Pousada Espírito Santo - Bueno Brandão/MG;;"MG-295, Bueno Brandão - MG, 37578-000";(35) 99827-9321;https://www.facebook.com/PousadaEspiritoSanto%20/;restaurantes
Bueno Brandão;Pousada Som Das Águas;;"Cachoeira dos Félix - Pousada Som Das Águas Cachoeira Dos Félix, Bueno Brandão - MG, 37578-000";(35) 99819-9625;http://pousadasomdasaguas.com.br/;bares
Bueno Brandão;POUSADA VALE DO CAFÉ BUENO BRANDÃO;;"Cachoeira dos Félix, Bueno Brandão - MG, 37578-000";(35) 99922-3075;http://pousadavaledocafe.com.br/;cafés
Bueno Brandão;Pousada Vizinho das Estrelas;;"Estrada Bueno Brandão Socorro Km 3, s/nº - Ponte alta, Bueno Brandão - MG, 37578-000";(35) 99969-5273;;restaurantes
Bueno Brandão;Rancho Bela Vista;Restaurante;"Estrada, Estr. Monte Sião, km 1, Bueno Brandão - MG, 37578-000";(35) 99954-1898;;restaurantes
Bueno Brandão;Recanto do Pescador;Restaurante;"Boa Vista dos Vicentes, Bueno Brandão - MG, 37578-000";(35) 99892-2549;;restaurantes
Bueno Brandão;Recanto dos Félix/ Alto da Cachoeira;;"Estrada cachoeira do Felix sem número Cachoeira dos Félix, Bueno Brandão - MG, 37578-000";(35) 99736-3468;https://www.facebook.com/Pousada-Alto-da-Cachoeira-419008068438894;cafés
Bueno Brandão;Restaurante Assados de minas;Restaurante;"Bairro Ponte Alta, KM 3, Bueno Brandão - MG, 37578-000";(35) 99949-7463;;restaurantes
Bueno Brandão;Restaurante cozinha e tempero da Raquel;Restaurante;"R. Cap. Eduardo Carneiro, 140, Bueno Brandão - MG, 37578-000";(35) 99774-7370;https://www.instagram.com/cozinha_e_tempero_da_raquel?igsh=a2R6YjlsYnI0ZWpv;restaurantes
Bueno Brandão;Restaurante Lanchonete e Pizzaria Cheiro Verde;Pizzaria;"R. Modesto Alves Coutinho, n°31 - Centro, Bueno Brandão - MG, 37578-000";(35) 3463-1411;https://www.facebook.com/pages/Restaurante-Cheiro-Verde/205957472777472?ref=br_rs;restaurantes
Bueno Brandão;Restaurante Vila Ramalho;Restaurante;"R. california, 101, Bueno Brandão - MG, 9-9852, Bueno Brandão - MG";(35) 99852-8291;;restaurantes
Bueno Brandão;Restaurante Xodó da Serra;Restaurante;"Rua Barao de Campo Místico, 574 - Centro, Bueno Brandão - MG, 37578-000";(35) 99979-5230;https://www.facebook.com/xododaserrabuenobrandao/;restaurantes
Bueno Brandão;Senhora Pizza;Pizzaria;"R. Ver. Túlio Putini, 304 - 366, Bueno Brandão - MG, 37578-000";(35) 99940-6142;https://instagram.com/senhora_pizza12;lanchonetes
Bueno Brandão;Solário Chalés;;"Rodovia Otacílio Bonamichi, km 139, Bueno Brandão - MG, 37578-000";(35) 99876-4097;https://solariochales.com.br/;cafés
Bueno Brandão;Supermercado Três Irmãos - SUPERMERCADO BOM PREÇO - Bueno Brandão - MG;Supermercado;"R. Amazonas, 500, Bueno Brandão - MG, 37578-000";(35) 3463-2239;;bares
Bueno Brandão;Terra das Cachoeiras;Café;"Rod Socorro - Bueno Brandao, km 12, Bueno Brandão - MG, 37578-000";(19) 97121-1818;https://terradascachoeiras.com.br/;cafés
Bueno Brandão;The Samy's Burguer;Hamburgueria;"Rua Sebastião Gregório, 49, Bueno Brandão - MG, 37578-000";(11) 98211-5861;https://www.instagram.com/thesamysburguer;lanchonetes
Bueno Brandão;Toca do Lobo Guará;Charcutaria;"Bueno Brandão - MG, 37578-000";(35) 91002-0106;https://instagram.com/toca_doloboguara?igshid=NjIwNzIyMDk2Mg==;bares
Bueno Brandão;Zanta's Sorvetes e Pastéis;Doceria;"Praça Virgilio Melo Franco, 334, Bueno Brandão - MG, 37578-000";(35) 99840-0880;;sorveterias
Inconfidentes;Açaí da Grota;Sorveteria especializada em sundaes;"R. Eng. Álvares Maciel, 77 - Centro, Inconfidentes - MG, 37576-000";(35) 99832-4792;;hamburguerias
Inconfidentes;Açaí da praça;Sorveteria;"Av. Alvarenga Peixoto, Inconfidentes - MG, 37576-000";(35) 99732-9492;;sorveterias
Inconfidentes;Açougue Nossa Senhora da Aparecida;Açougue;"R. Tomás Antônio Gonzaga, 599, Inconfidentes - MG, 37576-000";(35) 99806-0061;;açougues
Inconfidentes;ADEGA COMANDANT'S;Bar;"R. Guarda Mor Lustosa, 532 - Ouro Fino, MG, 37570-000";(35) 99729-4093;;cafés
Inconfidentes;Adega Resenha;Bar e Grill;"R. Guarda Mor Lustosa, 534 - Centro, Ouro Fino - MG, 37570-000";(35) 99763-5436;;bares
Inconfidentes;Alambique do Antenor - Pérola Branca;Bar;"Ouro Fino, Inconfidentes - MG, 37570-000";(12) 99105-1200;https://www.instagram.com/alambiqueperolabranca?igsh=MW84ZDB4OWJ2aTZidg==;bares
Inconfidentes;AMARILDO LANCHES;Lanchonete;"R. Treze de Maio, 2123-2297 - Ouro Fino, MG, 37570-000";(35) 99811-3697;;bares
Inconfidentes;Bar do Maurão;Bar;"Av. Alvarenga Peixoto, 219, Inconfidentes - MG, 37576-000";(35) 3464-1028;;bares
Inconfidentes;BAR DO TREVO;Bar;"R. João Ribeiro, 134 - Centro, Ouro Fino - MG, 37570-000";(35) 99820-9666;;bares
Inconfidentes;Bar e mercearia JD;Bar;"R. Pedro Bueno Gonçalves - Monjolinho, Inconfidentes - MG, 37576-000";(35) 99914-5699;;bares
Inconfidentes;Bar e restaurante O MINEIRINHO;Restaurante;"Rodovia Otacílio Bonamichi, 345 - Santa Isabel, Inconfidentes - MG, 37576-000";(35) 99823-1595;;restaurantes
Inconfidentes;Barriga Bar e Gastronomia;Bar;"R. Eng. Álvares Maciel, 11 - Centro, Inconfidentes - MG, 37576-000";(35) 99875-1404;;lanchonetes
Inconfidentes;Bertoldi's Sushi Bar - Culinária Oriental e Brasileira;Restaurante japonês;"R. Benedita Tolêdo Laira, 113 - Ouro Fino, MG, 37570-000";(35) 99864-5188;;bares
Inconfidentes;bgc pub;Gastropub;"R. Antero Simões, 55 - Trevo, Ouro Fino - MG, 37570-000";(35) 99862-4229;;bares
Inconfidentes;Black Buffalo Burger;Hamburgueria;"Av. Joaquim Francisco de Assis, 145 - Ouro Fino, MG, 37570-000";(35) 99765-7923;;hamburguerias
Inconfidentes;Boteco do Paulista;Bar;"R. Treze de Maio, 1188 - Ouro Fino, MG, 37570-000";(35) 99899-5696;https://instagram.com/boteco_do_paullista?igshid=YmMyMTA2M2Y=;bares
Inconfidentes;Box da Sandra - Box 22;Bar;"Tv. Mario Miranda - Ouro Fino, MG, 37570-000";(35) 99909-2163;;bares
Inconfidentes;Burguer LAB;;"Soares de Araújo - R. Faustino S de Araújo - Centro, Inconfidentes - MG, 37576-000";(35) 99734-5393;;hamburguerias
Inconfidentes;Buteco Do Clesinho;Bar;"R. Léo Adolfo Rigoto, 90 - Ouro Fino, MG, 37570-000";(35) 3441-1653;;bares
Inconfidentes;Café e Doces Sarapu;Espresso bar;"MG-290, Inconfidentes - MG, 37576-000";(35) 99942-8190;https://instagram.com/docessarapu?utm_medium=copy_link;restaurantes
Inconfidentes;Café Tradição de Minas;Escritório da empresa;"R. Pref. José Serra, 99 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-3375;;cafés
Inconfidentes;Casa boa;Bar;"R. Treze de Maio - Ouro Fino, MG, 37570-000";(35) 99723-0649;;bares
Inconfidentes;Casa do Lanche;Lanchonete;"Rua: Engenheiro Alvares Maciel, 148, Inconfidentes - MG, 37576-000";(35) 99720-2028;https://instabio.cc/21209XxfCra;restaurantes
Inconfidentes;Cascavel Lanch;Lanchonete;"R. Treze de Maio - Ouro Fino, MG, 37570-000";(35) 3441-3351;;bares
Inconfidentes;Cascavel Lanches;Lanchonete;"Praça Dr. Euríco Santos de Abreu, 115 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-3351;https://m.facebook.com/Cascavel-Lanches-760902627625145/?ref=bookmarks;restaurantes
Inconfidentes;Caverna do Imigrante Café e Bar;Cafeteria;"Av. Alvarenga Peixoto, Inconfidentes - MG, 37576-000";(35) 99828-8669;;lanchonetes
Inconfidentes;Central Skate House Rock Bar & Shop;Bar;"R. Floriano Peixoto, 182 - Ouro Fino, MG, 37570-000";(35) 3181-0192;;bares
Inconfidentes;Cervejaria Inconfidentes;Bares;"Praça Gomes Freire - R. João Pinheiro, 40 - Mariana, MG, 35420-000";(31) 3557-4238;;bares
Inconfidentes;Cidinho lanches;Lanchonete;"R. Miranda Neto, 459 - palomos, Ouro Fino - MG, 37570-000";3441-6679;;bares
Inconfidentes;Colonia Pousada e Restaurante;Pousada;"Av. Alvarenga Peixoto, 926, Inconfidentes - MG, 37576-000";(35) 99954-8773;;restaurantes
Inconfidentes;Coronel Burger Ouro Fino;Hamburgueria;"R. Treze de Maio, 1098 - Ouro Fino, MG, 37570-000";(35) 99896-8590;http://cardapioof.com.br/?coronel;hamburguerias
Inconfidentes;Del Toro Burgers;Hamburgueria;"R. Pref. José Serra, 163 - Ouro Fino, MG, 37570-000";(35) 3441-3433;https://www.facebook.com/pg/Del-TORO-Burgers-820440098306895/posts/?ref=page_internal;hamburguerias
Inconfidentes;Doce Sabor Confeitaria Artesanal;Confeitaria;"R. Eng. Álvares Maciel, 427 - Centro, Inconfidentes - MG, 37576-000";(35) 99878-2217;https://docesaborconfeitaria.com.br/;padarias
Inconfidentes;Don Paolo Restaurante & Pizzaria;Pizzaria;"Zap (34) 9719, R.Major Sebastião Reis, 75 - 6380 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-7223;;restaurantes
Inconfidentes;Empório Dall'O;;"Av. Alvarenga Peixoto, 365, Inconfidentes - MG, 37576-000";(35) 99814-0566;https://www.instagram.com/dalloalimentos/;cafés
Inconfidentes;Fior di Latte Gelateria;Sorveteria;"Praça Edson Chiste, R. Glauco Bailoni, 31 - Ouro Verde, Ouro Fino - MG, 37570-000";(35) 99873-2685;;sorveterias
Inconfidentes;Food Truck Preto no Branco;Hamburgueria;"Av. Cyro Gonçalves - Centro, Ouro Fino - MG, 37570-000";(35) 99910-8910;;food truck
Inconfidentes;Food Truck Ronaldo;Fabricação de alimentos;"R. Guarda Mor Lustosa - Centro, Ouro Fino - MG, 37570-000";(35) 99836-2769;;food truck
Inconfidentes;Fried Chicken Republic;Restaurante fast-food;"R. Marília de Dirceu, 81, Inconfidentes - MG, 37576-000";(35) 99805-1335;;hamburguerias
Inconfidentes;Grano Empório & Café;Cafeteria;"Av. Cyro Gonçalves, 178a - Centro, Ouro Fino - MG, 37570-000";(35) 99852-0123;;cafés
Inconfidentes;Hawks Craft Beer & BBQ - Restaurante e Cervejaria;Restaurante;"R. Padre João Rabêlo, 39 - Ouro Fino, MG, 37570-000";(35) 99861-7828;http://www.hawksbbq.com.br/;bares
Inconfidentes;Madalena Soares sobrancelhas;Salão de sobrancelhas;"R. Bárbara Heliodora, 342 - Centro, Inconfidentes - MG, 37576-000";(35) 99927-9729;https://www.instagram.com/madalena.soares?igsh=MXF2Znkxcm15ZHdobw==&utm_source=qr;bares
Inconfidentes;Mansão Efiter;Bar informal;"R. Oscar Correia da Silva - Ouro Fino, MG, 37570-000";(35) 99964-1027;;bares
Inconfidentes;Mc Lanches;Lanchonete;"R. Eng. Álvares Maciel, 11 - Centro, Inconfidentes - MG, 37576-000";(35) 99875-1404;;restaurantes
Inconfidentes;MELKIS INCONFIDENTES SORVETES E AÇAI;Sorveteria;"Av. Alvarenga Peixoto, 169 - Centro, Inconfidentes - MG, 37576-000";(35) 99897-8737;;sorveterias
Inconfidentes;Mendel Marcenaria;Loja de marcenaria;"R. Srg. Mor Tolêdo Pizá, 152, Inconfidentes - MG, 37576-000";(35) 99832-9563;;bares
Inconfidentes;New York pizzaria;Pizzaria;"R. Marília de Dirceu, 134 - Centro, Inconfidentes - MG, 37576-000";(35) 99965-3299;;restaurantes
Inconfidentes;Nikola's Restaurante;Restaurante;"R. Américo Rossi, S/N - Sala 9 - Centro, Ouro Fino - MG, 37570-000";(35) 99772-8359;https://www.nikolasrestaurante.com.br/;bares
Inconfidentes;Ouro Mel Apiårio e Cafeteria;Café;"Rod. Doutor Francisco Bueno Brandão, 13 - Ouro Fino, MG, 37570-000";(35) 3441-0184;;cafés
Inconfidentes;Padaria A Brasileira;Padaria;"Av. Alvarenga Peixoto, 628, Inconfidentes - MG, 37576-000";(35) 91001-2921;https://wa.me/5535910012921;padarias
Inconfidentes;Padaria Artesanal Pão na Massa;Padaria;"R. Tupis - Ouro Fino, MG, 37570-000";(35) 99949-1609;https://padaria-artesanal-pao-na-massa.ola.click/products?fbclid=PAAabBMNuFY7KlOBckbAh6lOJDgH6IapoS9KLkHikxgWkK8xrJyvk1p08Anm4;padarias
Inconfidentes;Padaria e Confeitaria Nosso Pão;Padaria;"Av. Alvarenga Peixoto, 650, Inconfidentes - MG, 37576-000";(35) 3464-1828;;padarias
Inconfidentes;Padaria e Confeitaria Pão de Açúcar;Padaria;"R. João Pinheiro, 28 - Ouro Fino, MG, 37570-000";(35) 3441-1130;;padarias
Inconfidentes;Padaria e Confeitaria São Francisco;Padaria;"R. Treze de Maio, 1520 - Ouro Fino, MG, 37570-000";(35) 3441-1990;https://bakery-and-confectionery.shop/;padarias
Inconfidentes;Padaria e Confeitaria São José;Padaria;"R. Joaquim J. Maia, 329A - Centro, Inconfidentes - MG, 37576-000";(35) 99824-4609;;padarias
Inconfidentes;Padaria são geraldo;Padaria;"R. Cláudio Manoel da Costa, Inconfidentes - MG";(35) 99860-4135;;padarias
Inconfidentes;Pizzas Stop;Pizzaria;"Av. Alvarenga Peixoto, 2-102, Inconfidentes - MG, 37576-000";(35) 99903-8459;;restaurantes
Inconfidentes;Pousada Café em Flor;;"Rodovia Otacílio Bonamichi, 1048, Inconfidentes - MG, 37576-000";(35) 91001-3348;https://pousadacafeemflor.com.br/;cafés
Inconfidentes;Pousada Caminho Da Fé;;"MG-290, Inconfidentes - MG, 37576-000";(35) 99817-1465;;bares
Inconfidentes;POUSADA DO MAURÃO;;"Rodovia Otacílio Bonamichi, 340 - SANTA ISABEL, Inconfidentes - MG, 37576-000";(35) 99984-6339;https://www.instagram.com/pousadadomaurao/;cafés
Inconfidentes;Pousada Santa Varanda;;"Av. Alvarenga Peixoto, 327, Inconfidentes - MG, 37576-000";(35) 99879-4580;;bares
Inconfidentes;Quiel Salgadaria;Pizzaria;"Av. Alvarenga Peixoto, 715, Inconfidentes - MG, 37576-000";(35) 99978-6219;;restaurantes
Inconfidentes;Quintal Bamboa;Restaurante;"R. Sete de Setembro, 40 - Ouro Fino, MG, 37570-000";(35) 99950-2711;http://quintalbamboa.saipos.com/home;bares
Inconfidentes;Rancheiro | Bar & Petiscaria;Bar;"Estrada Zona Rural, SN Soledade Do Mogi, Inconfidentes - MG, 37576-000";(11) 98213-6370;;bares
Inconfidentes;Restaurante Chão Mineir'o;Restaurante Mineiro;"Av. Alvarenga Peixoto, 628 B - Centro, Inconfidentes - MG, 37576-000";(35) 99781-0320;;restaurantes
Inconfidentes;Restaurante do Barriga;Restaurante;"Av. Arlindo Bonamichi, N° 2 - Santa Isabel, Inconfidentes - MG, 37576-000";(35) 99772-1224;;restaurantes
Inconfidentes;Restaurante e Churrascaria Na Brasa;Restaurante;"Av. Alvarenga Peixoto - Monjolinho, Inconfidentes - MG, 37576-000";(35) 99774-3345;;restaurantes
Inconfidentes;Restaurante Imigrantes;Restaurante;"R. Cláudio Manoel da Costa - Centro, Inconfidentes - MG, 37576-000";(35) 99890-2344;https://www.instagram.com/invites/contact/?i=1og8bx7dkgymb&utm_content=m0cn0e4;restaurantes
Inconfidentes;Restaurante Sabor da Casa;Restaurante;"Rod. João Taváres Corrêa Beral, Inconfidentes - MG, 37576-000";(35) 99920-9456;;restaurantes
Inconfidentes;Restaurante Terra Mineira;Restaurante;"Rod. João Taváres Corrêa Beral, Inconfidentes - MG, 37576-000";(35) 99973-1027;https://wa.me/35999731027;restaurantes
Inconfidentes;Rhaízes Cafés Especiais;Loja de café;"Zona Rural - Roma, Inconfidentes - MG, 37576-000";(35) 99882-2239;;cafés
Inconfidentes;RR Caminho & Brasa;Lanchonete;"MG-290, km 43, Inconfidentes - MG, 37576-000";(35) 99823-0018;;bares
Inconfidentes;Serra Cafés Especiais;Fazenda;;(11) 97349-1149;;cafés
Inconfidentes;SN Lanches;Lanchonete;"Zap ( 19 - 92009.0186 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-6771;;bares
Inconfidentes;Sorvetes Natuice;;"R. Marília de Dirceu, 134 - Centro, Inconfidentes - MG, 37576-000";(35) 99969-4120;;sorveterias
Inconfidentes;Supermercado e Paneteria Inconfrios;Supermercado;"R. Vidal Barbosa, Inconfidentes - MG, 37576-000";(35) 3464-1576;;padarias
Inconfidentes;Texas Burguer;Lanchonete;"Rodovia Otacílio Bonamichi, 181, Inconfidentes - MG, 37576-000";(35) 99730-7463;https://wa.me/5535997307463;restaurantes
Inconfidentes;Tio Doca;Padaria;"Av. Alvarenga Peixoto, 805, Inconfidentes - MG, 37576-000";(35) 3464-1311;;padarias
Inconfidentes;Tonhecas Food Truck;Lanchonete;"Av. Washington Luís - Jardim das Rosas, Espírito Santo do Pinhal - SP, 13990-000";(19) 3651-2004;;food truck
Inconfidentes;Trash Bar;Bar com música ao vivo;"Av. Frei Henrique Soares, 304 - Inconfidentes, Contagem - MG, 32260-340";(31) 99410-2368;;bares
Inconfidentes;Venda Do Genu;Bar;"Inconfidentes - MG, 37576-000";99970-6280;;bares
Ouro Fino;ABBA CAFÉ;Cafeteria;"R. Mário Giacometti, 136 - Ouro Fino, MG, 37570-000";(35) 99958-3965;;cafés
Ouro Fino;AÇOUGUE BOI NOBRE - Do Gu - Ouro Fino;Açougue;"R. Manoel Jesuíno de Carvalho, 1721 - Parreiras, Ouro Fino - MG, 37570-000";(35) 99747-2542;;açougues
Ouro Fino;Açougue do Diego;Loja de produtos cárneos;"R. Afonso Piovesan, 169 - Jardim Belo Horizonte, Ouro Fino - MG, 37570-000";(35) 99757-5556;;açougues
Ouro Fino;Acougue Joabner;Açougue;"R. Bias Fortes, 156 - Centro, Ouro Fino - MG, 37570-000";(35) 3636-1680;;açougues
Ouro Fino;Açougue Nossa Senhora das Graças;Açougue;"R. Manoel Jesuíno de Carvalho, 1721 - Parreiras, Ouro Fino - MG, 37570-000";(35) 99821-8617;;açougues
Ouro Fino;Açougue Ouro Carnes;Açougue;"R. Joaquim Chavasco, 685 - Ouro Fino, MG, 37570-000";(35) 3441-2767;;açougues
Ouro Fino;Adega Parada Obrigatória;Loja de bebidas;"Av. Dr. Pompeu Rossi, 184 - Centro, Ouro Fino - MG, 37570-000";(35) 99713-9660;https://www.instagram.com/parada_obrigatoria.adega;bares
Ouro Fino;Adega Resenha;Bar e Grill;"R. Guarda Mor Lustosa, 534 - Centro, Ouro Fino - MG, 37570-000";(35) 99763-5436;;bares
Ouro Fino;Aki Lanches;;"R. Treze de Maio - Ouro Fino, MG, 37570-000";(35) 99757-9380;;lanchonetes
Ouro Fino;Alfa Cortinas e Decorações;Loja de cortinas e persianas;"R. João Pinheiro, 39 - Centro, Ouro Fino - MG, 37570-000";(35) 99873-1631;;lanchonetes
Ouro Fino;AMARILDO LANCHES;Lanchonete;"R. Treze de Maio, 2123-2297 - Ouro Fino, MG, 37570-000";(35) 99811-3697;;restaurantes
Ouro Fino;Arcos de Ouro Fino;Café;"R. João Moreira de Melo, 226 - Ouro Fino, MG, 37570-000";(35) 99700-5550;;cafés
Ouro Fino;Bar da Zi;Bar;"R. Volveno Germiniani - Ouro Fino, MG, 37570-000";(35) 99761-1952;;bares
Ouro Fino;Bar do Márcio;Bar;"Estr. Laranjal - Ouro Fino, MG, 37570-000";(35) 99978-0146;;bares
Ouro Fino;BAR DO TREVO;Bar;"R. João Ribeiro, 134 - Centro, Ouro Fino - MG, 37570-000";(35) 99820-9666;;restaurantes
Ouro Fino;Bar e Choperia do Lazinho;Bar;"R. Manoel Jesuíno, 928 - Ouro Fino, MG, 37570-000";(35) 99994-4391;;bares
Ouro Fino;Bendita Gula Hamburgueria e Salgadaria.;Lanchonete;"R. Pref. José Serra, 46 - Centro, Ouro Fino - MG, 37570-000";(35) 99821-4826;https://benditagula-bra.ola.click/;hamburguerias
Ouro Fino;Bertoldi's Sushi Bar - Culinária Oriental e Brasileira;Restaurante japonês;"R. Benedita Tolêdo Laira, 113 - Ouro Fino, MG, 37570-000";(35) 99864-5188;;restaurantes
Ouro Fino;bgc pub;Gastropub;"R. Antero Simões, 55 - Trevo, Ouro Fino - MG, 37570-000";(35) 99862-4229;;bares
Ouro Fino;Biba's Restaurante;Restaurante;"R. Sen. Miranda Jr, 141 - Ouro Fino, MG, 37570-000";(35) 3441-1985;;restaurantes
Ouro Fino;Black Buffalo Burger;Hamburgueria;"Av. Joaquim Francisco de Assis, 145 - Ouro Fino, MG, 37570-000";(35) 99765-7923;;hamburguerias
Ouro Fino;Boteco do Paulista;Bar;"R. Treze de Maio, 1188 - Ouro Fino, MG, 37570-000";(35) 99899-5696;https://instagram.com/boteco_do_paullista?igshid=YmMyMTA2M2Y=;bares
Ouro Fino;Box da Sandra - Box 22;Bar;"Tv. Mario Miranda - Ouro Fino, MG, 37570-000";(35) 99909-2163;;bares
Ouro Fino;Buteco Do Clesinho;Bar;"R. Léo Adolfo Rigoto, 90 - Ouro Fino, MG, 37570-000";(35) 3441-1653;;bares
Ouro Fino;Buti Empório e Cafés;Cafeteria;"R. João Pinheiro, 81 - Centro, Ouro Fino - MG, 37570-000";(35) 99968-8560;https://buticoffee.com.br/;cafés
Ouro Fino;Café Caminhos de Minas;Cafeteria;"R. Dona Olímpia de Barros Miranda, 2 - Ouro Fino, MG, 37570-000";(35) 99717-7377;;lanchonetes
Ouro Fino;Café Juruna;Espresso bar;"R. Guarda Mor Lustosa, 363 - sala Ab - Ouro Fino, MG, 37570-000";(35) 99810-7865;;cafés
Ouro Fino;Café Porteira De Minas;Café;"Av. Joaquim Francisco de Assis, 434 - Ouro Fino, MG, 37570-000";(35) 3441-2353;;cafés
Ouro Fino;Café Tradição de Minas;Escritório da empresa;"R. Pref. José Serra, 99 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-3375;;cafés
Ouro Fino;Cafeteria Inverno D´Italia;Café;"R. Treze de Maio, 471 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-7133;https://www.facebook.com/InvernoDItaliaCoffeeCompany?fref=ts;lanchonetes
Ouro Fino;Canaã pizzaria e hamburgueria;Pizzaria;"José Gilberto Martins, Av. dos Palomos, 120, Ouro Fino - MG, 35750-000";(35) 99763-0167;;pizzarias
Ouro Fino;Capitol Restaurante;Restaurante;"Av. Cyro Gonçalves, 59 - Centro, Ouro Fino - MG, 37570-000";(35) 99811-0657;;restaurantes
Ouro Fino;Casa boa;Bar;"R. Treze de Maio - Ouro Fino, MG, 37570-000";(35) 99723-0649;;bares
Ouro Fino;Casa de Carnes Bolognani;Açougue;"R. Treze de Maio, 980 - Ouro Fino, MG, 37570-000";(35) 99950-3574;;açougues
Ouro Fino;Casa de Carnes Moderna (açougue do João);Supermercado;"R. Treze de Maio, 1231 - Ouro Fino, MG, 37570-000";(35) 3441-2454;;açougues
Ouro Fino;Casa de Carnes Nossa Senhora da Piedade;Açougue;"Av. Joaquim Francisco de Assis, 139 - Ouro Fino, MG, 37570-000";(35) 3441-2462;;açougues
Ouro Fino;Casa de Carnes Santa Lúcia;Açougue;"Av. Delfim Moreira, 313 - Ouro Fino, MG, 37570-000";(35) 3441-1966;;açougues
Ouro Fino;Casa de Carnes Zebú;Açougue;"R. Dep. Alcídes Mosconi, 22 - Ouro Fino, MG, 37570-000";(35) 3441-5048;;açougues
Ouro Fino;Casa do Peregrino;;"R. Maj. Sebastião Píres, 238 - Ouro Fino, MG, 37570-000";(35) 3441-6214;;cafés
Ouro Fino;Cascavel Lanch;Lanchonete;"R. Treze de Maio - Ouro Fino, MG, 37570-000";(35) 3441-3351;;restaurantes
Ouro Fino;Cascavel Lanches;Lanchonete;"Praça Dr. Euríco Santos de Abreu, 115 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-3351;https://m.facebook.com/Cascavel-Lanches-760902627625145/?ref=bookmarks;restaurantes
Ouro Fino;Central Skate House Rock Bar & Shop;Bar;"R. Floriano Peixoto, 182 - Ouro Fino, MG, 37570-000";(35) 3181-0192;;bares
Ouro Fino;CHAPA QUENTE LANCHES;Restaurante;"Ouro Fino, MG, 37570-000";(35) 99895-4022;;lanchonetes
Ouro Fino;Cheese Cheese Hambúrguer;Hamburgueria;"R. Benedito Ramos Muniz, 42 - Lote Belo Horizonte, Ouro Fino - MG, 37570-000";(11) 94555-4088;;hamburguerias
Ouro Fino;Cidinho lanches;Lanchonete;"R. Miranda Neto, 459 - palomos, Ouro Fino - MG, 37570-000";3441-6679;;restaurantes
Ouro Fino;confeitaria Elisa Trindade e Sanduba lanches;Confeitaria;"R. Adelia Trombini, 70 - Ouro Fino, MG, 37570-000";(35) 99990-1814;;lanchonetes
Ouro Fino;Coronel Burger Ouro Fino;Hamburgueria;"R. Treze de Maio, 1098 - Ouro Fino, MG, 37570-000";(35) 99896-8590;http://cardapioof.com.br/?coronel;restaurantes
Ouro Fino;Coronel Pizzaria Ouro Fino;Pizzaria;"R. Treze de Maio, 1068 - Ouro Fino, MG, 37570-000";(35) 3181-0700;;restaurantes
Ouro Fino;D’Ouro Café;Cafeteria;"R. Treze de Maio, 723 - Centro, Ouro Fino - MG, 37570-000";(35) 99905-3245;https://www.instagram.com/d_ourocafe?igsh=MTBnNHBxcDA2ZHpweQ==&utm_source=qr;cafés
Ouro Fino;Davi's Pizza Co - Pizzaria em Ouro Fino MG;Delivery de Pizza;"R. Bias Fortes, 427 B - Alto, Ouro Fino - MG, 37570-000";(35) 99705-4326;;restaurantes
Ouro Fino;De Casa Steakhouse;Açougue gourmet;"R. João Pinheiro, 253 - CENTRO, Ouro Fino - MG, 37570-000";(35) 3181-0212;https://ze.onelink.me/qZhP/arsa7v12;açougues
Ouro Fino;Del Toro Burgers;Hamburgueria;"R. Pref. José Serra, 163 - Ouro Fino, MG, 37570-000";(35) 3441-3433;https://www.facebook.com/pg/Del-TORO-Burgers-820440098306895/posts/?ref=page_internal;restaurantes
Ouro Fino;Dennys Disk Pizza;Restaurante;"R. Benedito Ramos Muniz, 214 - Ouro Fino, MG, 37570-000";(35) 3441-6534;;pizzarias
Ouro Fino;DoceFestas;Loja;"Praça Paulino Paulini, 20 - Ouro Fino, MG, 37570-000";(35) 3441-3394;;lanchonetes
Ouro Fino;Dogão de Minas of;Lanchonete;"Av. Cyro Gonçalves - Centro, Ouro Fino - MG, 37570-000";(35) 99939-4187;;restaurantes
Ouro Fino;Don Paolo Restaurante & Pizzaria;Pizzaria;"Zap (34) 9719, R.Major Sebastião Reis, 75 - 6380 - Centro, Ouro Fino - MG, 37570-000";(35) 3441-7223;;restaurantes
